$K_p$,Motion,Control Mode
3.080799098021015,No - $H_{pe}$,Pos
2.944574663435925,Yes - $H_{pe}$,Pos
0.5425090470880687,Yes - $H_{pxd}$,Pos
0.5982232200063782,No - $H_{pe}$,Vel
0.493500600553056,Yes - $H_{pe}$,Vel
-0.0006805242840405728,Yes - $H_{pxd}$,Vel
0.11569261992438795,No - $H_{pe}$,Acc
0.12669289997271466,Yes - $H_{pe}$,Acc
0.025975412485040733,Yes - $H_{pxd}$,Acc
1.9274252588333596,No - $H_{pe}$,Pos
2.96970232180881,Yes - $H_{pe}$,Pos
3.135910306494785,Yes - $H_{pxd}$,Pos
0.3477729672235026,No - $H_{pe}$,Vel
0.4601391623318323,Yes - $H_{pe}$,Vel
0.014380163085521473,Yes - $H_{pxd}$,Vel
0.0793305896147329,No - $H_{pe}$,Acc
0.01987023149627059,Yes - $H_{pe}$,Acc
0.014936174622257388,Yes - $H_{pxd}$,Acc
2.713493264997292,No - $H_{pe}$,Pos
6.025619086823048,Yes - $H_{pe}$,Pos
1.4818121428340603,Yes - $H_{pxd}$,Pos
0.48783402863181846,No - $H_{pe}$,Vel
0.4506768537406449,Yes - $H_{pe}$,Vel
0.0061408799567442595,Yes - $H_{pxd}$,Vel
0.15370684374635862,No - $H_{pe}$,Acc
0.09871505998046987,Yes - $H_{pe}$,Acc
0.03340309881297862,Yes - $H_{pxd}$,Acc
5.350768485055601,No - $H_{pe}$,Pos
5.339463250013935,Yes - $H_{pe}$,Pos
0.34098009731978984,Yes - $H_{pxd}$,Pos
0.4311548166634578,No - $H_{pe}$,Vel
0.6753429823096606,Yes - $H_{pe}$,Vel
0.021105379309056573,Yes - $H_{pxd}$,Vel
0.08145983928181576,No - $H_{pe}$,Acc
0.13964274379124175,Yes - $H_{pe}$,Acc
0.0329882909268772,Yes - $H_{pxd}$,Acc
1.9574306500484036,No - $H_{pe}$,Pos
5.421600067916105,Yes - $H_{pe}$,Pos
1.1440529612204826,Yes - $H_{pxd}$,Pos
0.3954938905422848,No - $H_{pe}$,Vel
0.5942073836748123,Yes - $H_{pe}$,Vel
0.02447651673527461,Yes - $H_{pxd}$,Vel
0.0213358513150364,No - $H_{pe}$,Acc
0.17806456190522757,Yes - $H_{pe}$,Acc
0.03169383443122542,Yes - $H_{pxd}$,Acc
0.835737723724677,No - $H_{pe}$,Pos
3.622709582678853,Yes - $H_{pe}$,Pos
0.408565811748423,Yes - $H_{pxd}$,Pos
0.44585067376067555,No - $H_{pe}$,Vel
0.4861971688754463,Yes - $H_{pe}$,Vel
0.09580406047776158,Yes - $H_{pxd}$,Vel
0.07859680650873246,No - $H_{pe}$,Acc
0.10789739821374075,Yes - $H_{pe}$,Acc
0.003465837632311503,Yes - $H_{pxd}$,Acc
