$\zeta_{nm}$,Motion,Control Mode
0.2346574456178474,No - $H_{pe}$,Pos
0.5457060047311901,Yes - $H_{pe}$,Pos
0.5457060047311901,Yes - $H_{pxd}$,Pos
0.20132547065753753,No - $H_{pe}$,Vel
0.25671317141303895,Yes - $H_{pe}$,Vel
0.25671317141303895,Yes - $H_{pxd}$,Vel
0.1451370077387144,No - $H_{pe}$,Acc
0.21676067509124064,Yes - $H_{pe}$,Acc
0.21676067509124064,Yes - $H_{pxd}$,Acc
0.29795129223466127,No - $H_{pe}$,Pos
0.5523752463156444,Yes - $H_{pe}$,Pos
0.5523752463156444,Yes - $H_{pxd}$,Pos
0.41060857146172214,No - $H_{pe}$,Vel
0.6327012900374875,Yes - $H_{pe}$,Vel
0.6327012900374875,Yes - $H_{pxd}$,Vel
0.3497530589630692,No - $H_{pe}$,Acc
0.4372963788754016,Yes - $H_{pe}$,Acc
0.4372963788754016,Yes - $H_{pxd}$,Acc
0.36559697425538557,No - $H_{pe}$,Pos
0.586647874805267,Yes - $H_{pe}$,Pos
0.586647874805267,Yes - $H_{pxd}$,Pos
0.4874615166357469,No - $H_{pe}$,Vel
2.4488528232292617,Yes - $H_{pe}$,Vel
2.4488528232292617,Yes - $H_{pxd}$,Vel
0.4055579656382907,No - $H_{pe}$,Acc
0.41473067415920184,Yes - $H_{pe}$,Acc
0.41473067415920184,Yes - $H_{pxd}$,Acc
0.2186239564520207,No - $H_{pe}$,Pos
0.3467356715598493,Yes - $H_{pe}$,Pos
0.3467356715598493,Yes - $H_{pxd}$,Pos
0.717653271921483,No - $H_{pe}$,Vel
0.30730125290874066,Yes - $H_{pe}$,Vel
0.30730125290874066,Yes - $H_{pxd}$,Vel
0.5765842179728031,No - $H_{pe}$,Acc
0.5962276694541899,Yes - $H_{pe}$,Acc
0.5962276694541899,Yes - $H_{pxd}$,Acc
0.38165047775184296,No - $H_{pe}$,Pos
0.10082604798283865,Yes - $H_{pe}$,Pos
0.10082604798283865,Yes - $H_{pxd}$,Pos
0.23110925659257614,No - $H_{pe}$,Vel
0.34157627698894955,Yes - $H_{pe}$,Vel
0.34157627698894955,Yes - $H_{pxd}$,Vel
0.2148796204400398,No - $H_{pe}$,Acc
0.2607822259046617,Yes - $H_{pe}$,Acc
0.2607822259046617,Yes - $H_{pxd}$,Acc
0.2769104965919281,No - $H_{pe}$,Pos
0.36983602713817865,Yes - $H_{pe}$,Pos
0.36983602713817865,Yes - $H_{pxd}$,Pos
0.3073288700169093,No - $H_{pe}$,Vel
0.7559835852597161,Yes - $H_{pe}$,Vel
0.7559835852597161,Yes - $H_{pxd}$,Vel
0.3427400459635876,No - $H_{pe}$,Acc
0.3865901892272615,Yes - $H_{pe}$,Acc
0.3865901892272615,Yes - $H_{pxd}$,Acc
