$\omega_{nm}$,Motion,Control Mode
13.437370507689343,No - $H_{pe}$,Pos
24.960798292338055,Yes - $H_{pe}$,Pos
24.960798292338055,Yes - $H_{pxd}$,Pos
13.118184553660015,No - $H_{pe}$,Vel
12.303205174596128,Yes - $H_{pe}$,Vel
12.303205174596128,Yes - $H_{pxd}$,Vel
10.083248858707133,No - $H_{pe}$,Acc
10.893487485089132,Yes - $H_{pe}$,Acc
10.893487485089132,Yes - $H_{pxd}$,Acc
18.81221045182179,No - $H_{pe}$,Pos
15.67661444429082,Yes - $H_{pe}$,Pos
15.67661444429082,Yes - $H_{pxd}$,Pos
11.178392912840362,No - $H_{pe}$,Vel
10.696663408292096,Yes - $H_{pe}$,Vel
10.696663408292096,Yes - $H_{pxd}$,Vel
9.927650392059842,No - $H_{pe}$,Acc
10.58624889483383,Yes - $H_{pe}$,Acc
10.58624889483383,Yes - $H_{pxd}$,Acc
15.014269367828778,No - $H_{pe}$,Pos
15.78260580641981,Yes - $H_{pe}$,Pos
15.78260580641981,Yes - $H_{pxd}$,Pos
12.08703998761526,No - $H_{pe}$,Vel
34.84690571628795,Yes - $H_{pe}$,Vel
34.84690571628795,Yes - $H_{pxd}$,Vel
8.990316841979345,No - $H_{pe}$,Acc
12.926493671000621,Yes - $H_{pe}$,Acc
12.926493671000621,Yes - $H_{pxd}$,Acc
14.645523877621791,No - $H_{pe}$,Pos
15.60784050121849,Yes - $H_{pe}$,Pos
15.60784050121849,Yes - $H_{pxd}$,Pos
19.099200900224886,No - $H_{pe}$,Vel
16.13520470744194,Yes - $H_{pe}$,Vel
16.13520470744194,Yes - $H_{pxd}$,Vel
11.458532198176089,No - $H_{pe}$,Acc
14.474064910993533,Yes - $H_{pe}$,Acc
14.474064910993533,Yes - $H_{pxd}$,Acc
14.568142382985275,No - $H_{pe}$,Pos
14.365315995166476,Yes - $H_{pe}$,Pos
14.365315995166476,Yes - $H_{pxd}$,Pos
10.594710825074912,No - $H_{pe}$,Vel
13.115480052097272,Yes - $H_{pe}$,Vel
13.115480052097272,Yes - $H_{pxd}$,Vel
9.864838693097816,No - $H_{pe}$,Acc
10.781628446912492,Yes - $H_{pe}$,Acc
10.781628446912492,Yes - $H_{pxd}$,Acc
14.962300539620635,No - $H_{pe}$,Pos
13.247242582229568,Yes - $H_{pe}$,Pos
13.247242582229568,Yes - $H_{pxd}$,Pos
11.087410348269422,No - $H_{pe}$,Vel
20.525443659753307,Yes - $H_{pe}$,Vel
20.525443659753307,Yes - $H_{pxd}$,Vel
9.8453274867247,No - $H_{pe}$,Acc
12.390219237098536,Yes - $H_{pe}$,Acc
12.390219237098536,Yes - $H_{pxd}$,Acc
