$T_L$,Motion,Control Mode
0.5062683313881566,No - $H_{pe}$,Pos
0.4992631846430513,Yes - $H_{pe}$,Pos
0.17960590249030903,Yes - $H_{pxd}$,Pos
0.1894754684931463,No - $H_{pe}$,Vel
0.22906763362721344,Yes - $H_{pe}$,Vel
10.93406344398463,Yes - $H_{pxd}$,Vel
1.8056523747853994,No - $H_{pe}$,Acc
1.1062978559918157,Yes - $H_{pe}$,Acc
2.9922145031016463,Yes - $H_{pxd}$,Acc
0.5910328962862448,No - $H_{pe}$,Pos
0.827668393103184,Yes - $H_{pe}$,Pos
0.11837553136089494,Yes - $H_{pxd}$,Pos
0.2422031053430953,No - $H_{pe}$,Vel
0.2556521650384589,Yes - $H_{pe}$,Vel
1.79179487272454,Yes - $H_{pxd}$,Vel
1.6383754506365158,No - $H_{pe}$,Acc
5.34198749792794,Yes - $H_{pe}$,Acc
2.506606991009873,Yes - $H_{pxd}$,Acc
0.23553532024088242,No - $H_{pe}$,Pos
0.5723117197245045,Yes - $H_{pe}$,Pos
0.00173470583356285,Yes - $H_{pxd}$,Pos
0.2384528689138061,No - $H_{pe}$,Vel
0.33837730165096364,Yes - $H_{pe}$,Vel
-3.1863069527721297,Yes - $H_{pxd}$,Vel
0.8544737416637145,No - $H_{pe}$,Acc
1.5156738247539971,Yes - $H_{pe}$,Acc
0.4918670275594068,Yes - $H_{pxd}$,Acc
0.36641931599662214,No - $H_{pe}$,Pos
0.33773951314742323,Yes - $H_{pe}$,Pos
-0.9484587365372286,Yes - $H_{pxd}$,Pos
0.21978086973770516,No - $H_{pe}$,Vel
0.22591621619131508,Yes - $H_{pe}$,Vel
0.0291298294582343,Yes - $H_{pxd}$,Vel
1.7087002368941908,No - $H_{pe}$,Acc
0.6410481523525853,Yes - $H_{pe}$,Acc
1.7262808472131175,Yes - $H_{pxd}$,Acc
0.6575203665611811,No - $H_{pe}$,Pos
-0.06693686144571581,Yes - $H_{pe}$,Pos
0.15748191274675283,Yes - $H_{pxd}$,Pos
0.1812659704995352,No - $H_{pe}$,Vel
0.18638347087431156,Yes - $H_{pe}$,Vel
-0.3852275303472631,Yes - $H_{pxd}$,Vel
7.418751747970314,No - $H_{pe}$,Acc
0.6472560787945794,Yes - $H_{pe}$,Acc
1.276012716282052,Yes - $H_{pxd}$,Acc
0.05142872316805888,No - $H_{pe}$,Pos
0.684869445969494,Yes - $H_{pe}$,Pos
-0.0835432063507554,Yes - $H_{pxd}$,Pos
0.2789132541511237,No - $H_{pe}$,Vel
0.2355319123664938,Yes - $H_{pe}$,Vel
-0.49347197715234103,Yes - $H_{pxd}$,Vel
2.0652993602802585,No - $H_{pe}$,Acc
1.065325904635131,Yes - $H_{pe}$,Acc
6.564978840475684,Yes - $H_{pxd}$,Acc
